Symbol,Name,Sector,Industry,MarketCap,SummaryQuote,ADRTSO,?field0,LastSale,
"CY","Cypress Semiconductor Corporation","Technology","Semiconductors",4622101998.03,"https://www.nasdaq.com/symbol/cy",null,1986,12.77,
"OLLI","Ollie&#39;s Bargain Outlet Holdings Inc.","Consumer Services","Department/Specialty Retail Stores",5813402694.72,"https://www.nasdaq.com/symbol/olli",null,2015,92.72,
"CCB","Coastal Financial Corporation","Finance","Major Banks",189718685.33,"https://www.nasdaq.com/symbol/ccb",null,2018,15.49,
"BNSO","Bonso Electronics International Inc.","Capital Goods","Industrial Machinery/Components",11865571.4,"https://www.nasdaq.com/symbol/bnso",null,null,2.518,
"INGN","Inogen Inc","Health Care","Industrial Specialties",4081355845.2,"https://www.nasdaq.com/symbol/ingn",null,2014,191.16,
"PACQ","Pure Acquisition Corp.","Finance","Business Services",103548595.49,"https://www.nasdaq.com/symbol/pacq",null,2018,9.71,
"SHLO","Shiloh Industries Inc.","Capital Goods","Industrial Specialties",205673386.35,"https://www.nasdaq.com/symbol/shlo",null,1993,8.79,
"UFPT","UFP Technologies Inc.","Capital Goods","Containers/Packaging",257952963.55,"https://www.nasdaq.com/symbol/ufpt",null,1993,35.05,
"HSTM","HealthStream Inc.","Technology","Computer Software: Programming Data Processing",849120061.08,"https://www.nasdaq.com/symbol/hstm",null,2000,26.27,
"HWCPL","Hancock Whitney Corporation","Finance","Major Banks",0,"https://www.nasdaq.com/symbol/hwcpl",null,null,24.65,
"DIOD","Diodes Incorporated","Technology","Semiconductors",1482113063.31,"https://www.nasdaq.com/symbol/diod",null,null,29.59,
"DISCB","Discovery Inc.","Consumer Services","Television Services",16393667096.94,"https://www.nasdaq.com/symbol/discb",null,null,31.38,
"TCMD","Tactile Systems Technology Inc.","Health Care","Medical/Dental Instruments",1211155135.51,"https://www.nasdaq.com/symbol/tcmd",null,2016,66.07,
"ALDR","Alder BioPharmaceuticals Inc.","Health Care","Major Pharmaceuticals",848860704.04,"https://www.nasdaq.com/symbol/aldr",null,2014,12.44,
"IMGN","ImmunoGen Inc.","Health Care","Major Pharmaceuticals",822597702.96,"https://www.nasdaq.com/symbol/imgn",null,1989,5.52,
"ATRA","Atara Biotherapeutics Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",1433281261.33,"https://www.nasdaq.com/symbol/atra",null,2014,31.61,
"EFSC","Enterprise Financial Services Corporation","Finance","Major Banks",1007057103,"https://www.nasdaq.com/symbol/efsc",null,null,43.5,
"AQST","Aquestive Therapeutics Inc.","Health Care","Major Pharmaceuticals",370645560.49,"https://www.nasdaq.com/symbol/aqst",null,2018,14.87,
